platform,name,url,desc,searchUrl
afdian,碎de帆,https://afdian.com/a/碎de帆,赞助获取东方project模型,https://afdian.com/search?q=碎de帆
bilibili,碎de帆,https://space.bilibili.com/3546376152476750,东方project系列模型,https://search.bilibili.com/all?keyword=碎de帆
bilibili,Almeta_owx,https://space.bilibili.com/14869793,原创角色、碧蓝档案模型,https://search.bilibili.com/all?keyword=Almeta_owx
bilibili,就叫纸板,https://space.bilibili.com/3546757410383363,原创、碧蓝航线、碧蓝档案模型,https://search.bilibili.com/all?keyword=就叫纸板
bilibili,暖笙小憨猪,https://space.bilibili.com/1450624522,崩坏星穹铁道模型,https://search.bilibili.com/all?keyword=暖笙小憨猪
github,YSM模型仓库,https://github.com/,添加你的仓库链接,
